,BAREIL,BASHIR,COMPUTER,DAMAR,DAX,DUKAT,EDDINGTON,EZRI,GARAK,JAKE,KASIDY,KEIKO,KIRA,MARTOK,NOG,O'BRIEN,ODO,QUARK,ROM,SISKO,VIC,WEYOUN,WINN,WORF,ZEK,index
theemperorsnewcloak,0.0,26.0,0.0,0.0,0.0,0.0,0.0,96.0,47.0,0.0,0.0,0.0,58.0,7.0,0.0,33.0,7.0,183.0,134.0,8.0,3.0,0.0,0.0,45.0,57.0,160.0
theforsaken,0.0,49.0,41.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,122.0,137.0,8.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,16.0
thehomecoming,0.0,22.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,30.0,0.0,0.0,130.0,0.0,0.0,58.0,32.0,73.0,10.0,140.0,0.0,0.0,0.0,0.0,0.0,20.0
thehouseofquark,0.0,18.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,3.0,0.0,0.0,78.0,12.0,203.0,42.0,17.0,0.0,0.0,0.0,0.0,0.0,48.0
thejemhadar,0.0,7.0,17.0,0.0,21.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,51.0,0.0,62.0,28.0,25.0,167.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,45.0
themagnificentferengi,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,84.0,4.0,6.0,252.0,121.0,7.0,0.0,0.0,0.0,0.0,0.0,132.0
themaquispart1,0.0,9.0,0.0,0.0,37.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,37.0,17.0,71.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,39.0
themaquispart2,0.0,8.0,0.0,0.0,15.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,39.0,29.0,63.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,40.0
themuse,0.0,15.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,9.0,0.0,0.0,5.0,111.0,10.0,0.0,52.0,0.0,0.0,0.0,1.0,0.0,91.0
thenagus,0.0,3.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,2.0,0.0,45.0,48.0,25.0,160.0,54.0,69.0,0.0,0.0,0.0,0.0,98.0,10.0
thepassenger,0.0,141.0,5.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,79.0,64.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,8.0
thequickening,0.0,197.0,4.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,2.0,4.0,8.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,94.0
thereckoning,0.0,21.0,1.0,0.0,74.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,88.0,0.0,0.0,0.0,49.0,8.0,0.0,204.0,0.0,0.0,92.0,20.0,0.0,143.0
thesearchpart1,0.0,32.0,0.0,0.0,54.0,0.0,4.0,0.0,0.0,15.0,0.0,0.0,101.0,0.0,0.0,31.0,63.0,48.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,46.0
thesearchpart2,0.0,44.0,6.0,0.0,22.0,0.0,13.0,0.0,51.0,7.0,0.0,0.0,79.0,0.0,0.0,16.0,104.0,20.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,47.0
theship,0.0,8.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,117.0,6.0,4.0,0.0,160.0,0.0,0.0,0.0,46.0,0.0,98.0
thesiege,17.0,34.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,18.0,0.0,6.0,115.0,0.0,14.0,44.0,22.0,56.0,8.0,119.0,0.0,0.0,7.0,0.0,0.0,22.0
thesiegeofar558,0.0,40.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,5.0,0.0,58.0,3.0,3.0,79.0,11.0,121.0,25.0,0.0,0.0,22.0,0.0,156.0
thesoundofhervoice,0.0,85.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,31.0,37.0,0.0,11.0,0.0,0.0,81.0,49.0,111.0,0.0,90.0,0.0,0.0,0.0,18.0,0.0,147.0
thestoryteller,0.0,98.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,12.0,0.0,59.0,130.0,9.0,7.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,13.0
theswordofkahless,0.0,1.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0,8.0,0.0,0.0,0.0,168.0,0.0,79.0
thevisitor,0.0,12.0,6.0,0.0,20.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,15.0,0.0,35.0,7.0,0.0,5.0,0.0,102.0,0.0,0.0,0.0,2.0,0.0,73.0
thewayofthewarrior,0.0,60.0,1.0,0.0,125.0,59.0,0.0,0.0,70.0,0.0,36.0,0.0,89.0,54.0,0.0,80.0,71.0,89.0,0.0,307.0,0.0,0.0,0.0,196.0,0.0,72.0
thewire,0.0,293.0,3.0,0.0,15.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,38.0,41.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,41.0
thingspast,0.0,26.0,2.0,0.0,42.0,31.0,0.0,0.0,85.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,117.0,29.0,0.0,89.0,0.0,0.0,0.0,17.0,0.0,104.0
throughthelookingglass,0.0,15.0,1.0,0.0,31.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,113.0,0.0,0.0,112.0,4.0,10.0,15.0,197.0,0.0,0.0,0.0,0.0,0.0,64.0
tiesofbloodandwater,0.0,41.0,0.0,0.0,9.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,7.0,14.0,10.0,0.0,56.0,0.0,23.0,0.0,6.0,0.0,115.0
tildeathdouspart,0.0,2.0,0.0,16.0,0.0,70.0,0.0,91.0,0.0,7.0,20.0,0.0,25.0,0.0,1.0,3.0,4.0,8.0,0.0,70.0,0.0,38.0,101.0,60.0,0.0,166.0
timesorphan,0.0,45.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,18.0,0.0,0.0,200.0,19.0,5.0,0.0,8.0,0.0,0.0,0.0,59.0,0.0,146.0
tothedeath,0.0,13.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,56.0,30.0,5.0,0.0,139.0,0.0,94.0,0.0,53.0,0.0,93.0
